candidate_id,doc_id,asset_id,image_path,image_name,candidate_index,smiles,canonical_smiles,rdkit_valid,rdkit_error,smiles_source,source_tool,status,molecule_label,page_key,page_image,source_page_no,source_task_ids,source_asset_ids,nearest_label,bbox_json,raw_output,created_at
uniparser_mol_f84277d7eaba5ef0,doi_1464033328326402,fig_42b627c9c2ba5ed6,data/work/doi_1464033328326402/uniparser/crops/ac312fb7ed084873/uniparser_mol_f84277d7eaba5ef0.png,uniparser_mol_f84277d7eaba5ef0.png,17,CCN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,CCN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,1,,uniparser_molecule,uniparser,parsed,,ac312fb7ed084873,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_001.png,,"[""task_00f92d7906285833"", ""task_51b6686304755d89"", ""task_c7076e7b644f5760""]","[""fig_42b627c9c2ba5ed6"", ""fig_4f0392245e665e3b"", ""fig_9189f17de2e1503c""]",,"{""float_xyxy"": [0.6023772180927873, 0.8180784761235955, 0.8244895031101895, 0.8700096558988764], ""crop_xyxy"": [1002, 1805, 1407, 1951], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_001.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.6023772180927873, 0.8180784761235955, 0.8244895031101895, 0.8700096558988764], ""page"": 0, ""is_markush"": false, ""str"": ""***CCN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1***\n""}",2026-05-29 08:34:18
uniparser_mol_131fa93778235be0,doi_1464033328326402,fig_5c7927db96985ed7,data/work/doi_1464033328326402/uniparser/crops/90203e834acaf927/uniparser_mol_131fa93778235be0.png,uniparser_mol_131fa93778235be0.png,18,*N1CCC2(CN(*)C2)CC1<sep><a>0:<dum></a><a>7:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,90203e834acaf927,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_004.png,,"[""task_fe493d581230504c"", ""task_2f33b9e374215d75""]","[""fig_5c7927db96985ed7"", ""fig_bfcabe55bebf5382""]",,"{""float_xyxy"": [0.6412379549577902, 0.5243427405196629, 0.723950715991558, 0.5459807320926966], ""crop_xyxy"": [1077, 1162, 1227, 1220], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_004.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.6412379549577902, 0.5243427405196629, 0.723950715991558, 0.5459807320926966], ""page"": 0, ""is_markush"": true, ""str"": ""****N1CCC2(CN(*)C2)CC1<sep><a>0:<dum></a><a>7:<dum></a>***\n""}",2026-05-29 08:34:34
uniparser_mol_1b7f36e38b915b1c,doi_1464033328326402,table_e43988c04a8e5c3c,data/work/doi_1464033328326402/uniparser/crops/b70ccb10b7d00e4c/uniparser_mol_1b7f36e38b915b1c.png,uniparser_mol_1b7f36e38b915b1c.png,18,*C1C2C(=CC=CC=2)C2C1=CC=CC=2<sep><a>0:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,b70ccb10b7d00e4c,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_006.png,,"[""task_4161eaa8526f5608""]","[""table_e43988c04a8e5c3c""]",,"{""float_xyxy"": [0.4052213695941943, 0.6038623595505618, 0.457986406805391, 0.6319917485955057], ""crop_xyxy"": [680, 1340, 777, 1410], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_006.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.4052213695941943, 0.6038623595505618, 0.457986406805391, 0.6319917485955057], ""page"": 0, ""is_markush"": true, ""str"": ""****C1C2C(=CC=CC=2)C2C1=CC=CC=2<sep><a>0:<dum></a>***\n""}",2026-05-29 08:34:44
uniparser_mol_1e1a39604ee45ebb,doi_1464033328326402,fig_450605d4cde55a4b,data/work/doi_1464033328326402/uniparser/crops/51351b0f2b6f43ea/uniparser_mol_1e1a39604ee45ebb.png,uniparser_mol_1e1a39604ee45ebb.png,18,*CNC(=O)*<sep><a>0:<dum></a><a>5:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,51351b0f2b6f43ea,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_003.png,,"[""task_c8918e9aae3e537d"", ""task_e26bed457f425c26""]","[""fig_450605d4cde55a4b"", ""fig_9f22482961005fc0""]",,"{""float_xyxy"": [0.8244895031101895, 0.30904472436797753, 0.8815327865817536, 0.33555126404494384], ""crop_xyxy"": [1388, 684, 1492, 751], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_003.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.8244895031101895, 0.30904472436797753, 0.8815327865817536, 0.33555126404494384], ""page"": 0, ""is_markush"": true, ""str"": ""****CNC(=O)*<sep><a>0:<dum></a><a>5:<dum></a>***\n""}",2026-05-29 08:34:26
uniparser_mol_5294d8c6909f5f09,doi_1464033328326402,fig_450605d4cde55a4b,data/work/doi_1464033328326402/uniparser/crops/51351b0f2b6f43ea/uniparser_mol_5294d8c6909f5f09.png,uniparser_mol_5294d8c6909f5f09.png,19,**NC(=O)*<sep><a>0:<dum></a><a>1:CH2</a><a>5:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,51351b0f2b6f43ea,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_003.png,,"[""task_c8918e9aae3e537d"", ""task_e26bed457f425c26""]","[""fig_450605d4cde55a4b"", ""fig_9f22482961005fc0""]",,"{""float_xyxy"": [0.4693950634997038, 0.35718925561797754, 0.5242992238410841, 0.3836957952949438], ""crop_xyxy"": [788, 791, 889, 858], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_003.png""}","{""class"": ""molecule"", ""confidence"": 0.10888888888888887, ""float_xyxy"": [0.4693950634997038, 0.35718925561797754, 0.5242992238410841, 0.3836957952949438], ""page"": 0, ""is_markush"": true, ""str"": ""*****NC(=O)*<sep><a>0:<dum></a><a>1:CH2</a><a>5:<dum></a>***\n""}",2026-05-29 08:34:26
uniparser_mol_92634c0882985738,doi_1464033328326402,table_e43988c04a8e5c3c,data/work/doi_1464033328326402/uniparser/crops/b70ccb10b7d00e4c/uniparser_mol_92634c0882985738.png,uniparser_mol_92634c0882985738.png,19,*C(CCCCNC(=O)*)=O<sep><a>0:<dum></a><a>9:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,b70ccb10b7d00e4c,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_006.png,,"[""task_4161eaa8526f5608""]","[""table_e43988c04a8e5c3c""]",,"{""float_xyxy"": [0.2865000358690018, 0.6071080582865168, 0.36778671481598046, 0.6287460498595505], ""crop_xyxy"": [479, 1346, 626, 1404], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_006.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.2865000358690018, 0.6071080582865168, 0.36778671481598046, 0.6287460498595505], ""page"": 0, ""is_markush"": true, ""str"": ""****C(CCCCNC(=O)*)=O<sep><a>0:<dum></a><a>9:<dum></a>***\n""}",2026-05-29 08:34:44
uniparser_mol_f115446dd44b581e,doi_1464033328326402,fig_5c7927db96985ed7,data/work/doi_1464033328326402/uniparser/crops/90203e834acaf927/uniparser_mol_f115446dd44b581e.png,uniparser_mol_f115446dd44b581e.png,19,*N1CC2CN(*)CC(C2)C1<sep><a>0:<dum></a><a>6:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,90203e834acaf927,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_004.png,,"[""task_fe493d581230504c"", ""task_2f33b9e374215d75""]","[""fig_5c7927db96985ed7"", ""fig_bfcabe55bebf5382""]",,"{""float_xyxy"": [0.644803160174763, 0.5925024139747191, 0.7203855107745853, 0.6141404055477528], ""crop_xyxy"": [1083, 1313, 1221, 1371], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_004.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.644803160174763, 0.5925024139747191, 0.7203855107745853, 0.6141404055477528], ""page"": 0, ""is_markush"": true, ""str"": ""****N1CC2CN(*)CC(C2)C1<sep><a>0:<dum></a><a>6:<dum></a>***\n""}",2026-05-29 08:34:34
uniparser_mol_529e10884fc358d5,doi_1464033328326402,fig_450605d4cde55a4b,data/work/doi_1464033328326402/uniparser/crops/51351b0f2b6f43ea/uniparser_mol_529e10884fc358d5.png,uniparser_mol_529e10884fc358d5.png,20,**C(N1CCC2(CCN(C(=O)*)CC2)CC1)=O<sep><a>0:<dum></a><a>1:CH2</a><a>12:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,51351b0f2b6f43ea,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_003.png,,"[""task_c8918e9aae3e537d"", ""task_e26bed457f425c26""]","[""fig_450605d4cde55a4b"", ""fig_9f22482961005fc0""]",,"{""float_xyxy"": [0.5406991678391587, 0.34555883514747193, 0.6505074885219194, 0.400194763869382], ""crop_xyxy"": [906, 762, 1105, 897], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_003.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.5406991678391587, 0.34555883514747193, 0.6505074885219194, 0.400194763869382], ""page"": 0, ""is_markush"": true, ""str"": ""*****C(N1CCC2(CCN(C(=O)*)CC2)CC1)=O<sep><a>0:<dum></a><a>1:CH2</a><a>12:<dum></a>***\n""}",2026-05-29 08:34:26
uniparser_mol_63c6170650a25125,doi_1464033328326402,fig_5c7927db96985ed7,data/work/doi_1464033328326402/uniparser/crops/90203e834acaf927/uniparser_mol_63c6170650a25125.png,uniparser_mol_63c6170650a25125.png,20,*N1CCC2(CCN(*)CC2)CC1<sep><a>0:<dum></a><a>8:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,90203e834acaf927,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_004.png,,"[""task_fe493d581230504c"", ""task_2f33b9e374215d75""]","[""fig_5c7927db96985ed7"", ""fig_bfcabe55bebf5382""]",,"{""float_xyxy"": [0.7332202495556872, 0.5248836903089887, 0.8244895031101895, 0.5465216818820224], ""crop_xyxy"": [1232, 1162, 1398, 1222], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_004.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.7332202495556872, 0.5248836903089887, 0.8244895031101895, 0.5465216818820224], ""page"": 0, ""is_markush"": true, ""str"": ""****N1CCC2(CCN(*)CC2)CC1<sep><a>0:<dum></a><a>8:<dum></a>***\n""}",2026-05-29 08:34:34
uniparser_mol_c71b612657e65d1c,doi_1464033328326402,table_e43988c04a8e5c3c,data/work/doi_1464033328326402/uniparser/crops/b70ccb10b7d00e4c/uniparser_mol_c71b612657e65d1c.png,uniparser_mol_c71b612657e65d1c.png,20,*C(C1CCCCC1)C1CCCCC1<sep><a>0:<dum></a>,,0,rdkit_parse_failed,uniparser_molecule,uniparser,review_markush,,b70ccb10b7d00e4c,/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_006.png,,"[""task_4161eaa8526f5608""]","[""table_e43988c04a8e5c3c""]",,"{""float_xyxy"": [0.40165616437722157, 0.6438926439606741, 0.46012552993557465, 0.672022033005618], ""crop_xyxy"": [674, 1429, 781, 1499], ""page_image"": ""/root/autodl-tmp/ipm_eagle/data/work/doi_1464033328326402/pages/page_006.png""}","{""class"": ""molecule"", ""confidence"": 1.0, ""float_xyxy"": [0.40165616437722157, 0.6438926439606741, 0.46012552993557465, 0.672022033005618], ""page"": 0, ""is_markush"": true, ""str"": ""****C(C1CCCCC1)C1CCCCC1<sep><a>0:<dum></a>***\n""}",2026-05-29 08:34:44
